year,home_team,away_team,home_goals,away_goals,stage,match_result,host_country,home_is_host,away_is_host,stage_num,is_knockout,HTGS,ATGS,HTGC,ATGC,HTP,ATP,home_gpg,away_gpg,home_gcpg,away_gcpg,goal_diff,concede_diff,points_diff,gpg_diff,gcpg_diff,home_form,away_form,form_diff,home_elo,away_elo,elo_diff,h2h_home_win_rate,home_conf_strength,away_conf_strength,conf_strength_diff,home_wc_exp,away_wc_exp,wc_exp_diff,stage_num,is_knockout,home_is_host,away_is_host
1934,Italy,Austria,1,0,semi_final,H,Italy,1,0,4,1,9,5,2,3,7,6,3.0,2.5,0.667,1.5,4,-1,1,0.5,-0.833,2.3856082285630027,3.0,-0.6143917714369973,1544.0112836637086,1543.9571295127525,0.05415415095603748,0.33,0.72,0.72,0.0,0,0,0,4,1,1,0
1934,Czechoslovakia,Germany,3,1,semi_final,H,Italy,0,0,4,1,5,7,3,3,6,6,2.5,3.5,1.5,1.5,-2,0,0,-1.0,0.0,3.0,3.0,0.0,1543.9999091462107,1543.9223068468843,0.0776022993263723,0.33,0.72,0.72,0.0,0,0,0,4,1,0,0
1934,Germany,Austria,3,2,third_place,H,Italy,0,0,5,1,8,5,6,4,6,6,2.667,1.667,2.0,1.333,3,2,0,0.9999999999999998,0.667,1.4805588268330379,1.4805588268330379,0.0,1515.9285608531968,1515.9614938216423,-0.032932968445493316,0.33,0.72,0.72,0.0,0,0,0,5,1,0,0
1934,Italy,Czechoslovakia,2,1,final,H,Italy,1,0,6,1,10,8,2,4,10,9,2.5,2.667,0.5,1.333,2,-2,1,-0.16699999999999982,-0.833,2.6047335354217536,3.0,-0.39526646457824643,1572.0069193548188,1571.9936551398982,0.013264214920582162,0.33,0.72,0.72,0.0,0,0,0,6,1,1,0
1938,Switzerland,Germany,1,1,round_of_16,D,France,0,0,2,1,5,11,5,8,3,9,2.5,2.75,2.5,2.0,-6,-3,-6,-0.25,0.5,0.8068242641099854,2.172541816222123,-1.3657175521121376,1495.9999932583455,1539.9308357820564,-43.93084252371091,0.33,0.72,0.72,0.0,1,1,0,2,1,0,0
1938,Hungary,Dutch East Indies,6,0,round_of_16,H,France,0,0,2,1,5,0,4,0,3,0,2.5,0.0,2.0,0.0,5,4,3,2.5,2.0,0.8068242641099854,1.0,-0.19317573589001458,1495.9968188667744,1500.0,-4.003181133225553,0.33,0.72,0.72,0.0,1,0,1,2,1,0,0
1938,France,Belgium,3,1,round_of_16,H,France,1,0,2,1,6,2,6,9,3,0,1.5,0.667,1.5,3.0,4,-3,3,0.833,-1.5,0.42483119683517884,0.0,0.42483119683517884,1479.246051620473,1478.4937005657603,0.7523510547127898,0.33,0.72,0.72,0.0,2,2,0,2,1,1,0
1938,Cuba,Romania,3,3,round_of_16,D,France,0,0,2,1,0,4,0,7,0,3,0.0,1.333,0.0,2.333,-4,-7,-3,-1.333,-2.333,1.0,0.5589711696775427,0.4410288303224573,1500.0,1479.9984021889354,20.001597811064585,0.33,0.45,0.72,-0.26999999999999996,0,2,-2,2,1,0,0
1938,Italy,Norway,2,1,round_of_16,H,France,0,0,2,1,12,0,3,0,13,0,2.4,0.0,0.6,0.0,12,3,13,2.4,0.6,2.7071119438231235,1.0,1.7071119438231235,1604.0056976754774,1500.0,104.00569767547745,0.33,0.72,0.72,0.0,1,0,1,2,1,0,0
1938,Brazil,Poland,6,5,round_of_16,H,France,0,0,2,1,6,0,5,0,3,0,2.0,0.0,1.667,0.0,6,5,3,2.0,1.667,0.9215876571554952,1.0,-0.07841234284450482,1480.0015978110646,1500.0,-19.998402188935415,0.33,0.68,0.72,-0.039999999999999925,2,0,2,2,1,0,0
1938,Czechoslovakia,Netherlands,3,0,round_of_16,H,France,0,0,2,1,9,2,6,3,9,0,2.25,2.0,1.5,3.0,7,3,9,0.25,-1.5,1.8451890774804258,0.0,1.8451890774804258,1539.9948768192396,1480.0,59.99487681923961,0.33,0.72,0.72,0.0,1,1,0,2,1,0,0
1938,Cuba,Romania,2,1,round_of_16,H,France,0,0,2,1,3,7,3,10,1,4,3.0,1.75,3.0,2.5,-4,-7,-3,1.25,0.5,1.0,0.8097681710083702,0.19023182899162983,1499.9424309328022,1499.0574891766446,0.8849417561575592,0.0,0.45,0.72,-0.26999999999999996,0,2,-2,2,1,0,0
1938,Switzerland,Germany,4,2,round_of_16,H,France,0,0,2,1,6,12,6,9,4,10,2.0,2.4,2.0,1.8,-6,-3,-6,-0.3999999999999999,0.19999999999999996,1.0654515607331965,1.8158424176448327,-0.7503908569116362,1499.9264411072118,1501.8701003448084,-1.9436592375966484,0.0,0.72,0.72,0.0,1,1,0,2,1,0,0
